key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
santa fe av|1100|recoleta	Santa Fe Av	1100	Recoleta	-34.595538	-58.382603	-34.5954665284418	-58.3827175853858	2	13.2	-34.5955023	-58.3826603
cordoba|800|san nicolas	Cordoba	800	San Nicolas	-34.598975	-58.378054	-34.5989090870183	-58.3782792160978	2	21.9	-34.598942	-58.3781666
av balbin|3194|saavedra	Av. Balbin	3194	Saavedra	-34.558359	-58.475606	-34.55836477214176	-58.47559096881028	2	1.5	-34.5583619	-58.4755985
av alvarez thomas|100|colegiales	Av Alvarez Thomas	100	Colegiales	-34.582696	-58.445725	-34.5825960768172	-58.4457860444006	2	12.4	-34.582646	-58.4457555
olleros|1900|belgrano	Olleros	1900	Belgrano	-34.566171	-58.439305	-34.5662050532215	-58.4393387880331	2	4.9	-34.566188	-58.4393219
sucre|3000|belgrano	Sucre	3000	Belgrano	-34.567235	-58.460573	-34.5672572448482	-58.4606901101664	2	11.0	-34.5672461	-58.4606316
av san martin|4400|agronomia	Av. San Martin	4400	Agronomia	-34.598398	-58.482094	-34.598250802284	-58.4821273464003	2	16.6	-34.5983244	-58.4821107
quilmes|500|nueva pompeya	Quilmes	500	Nueva Pompeya	-34.645182	-58.417328	-34.6452772312642	-58.4173825371742	2	11.7	-34.6452296	-58.4173553
ayacucho|1900|recoleta	Ayacucho	1900	Recoleta	-34.588362	-58.390084	-34.5883215011305	-58.3899662840822	2	11.7	-34.5883418	-58.3900251
arenales|1238|recoleta	Arenales	1238	Recoleta	-34.594517	-58.384942	-34.594481846949414	-58.38494473077365	2	3.9	-34.5944994	-58.3849434
emilio lamarca|2041|villa del parque	Emilio Lamarca	2041	Villa Del Parque	-34.613551	-58.493562	-34.613614783300676	-58.49348545186454	2	10.0	-34.6135829	-58.4935237
virrey arredondo|3400|colegiales	Virrey Arredondo	3400	Colegiales	-34.575856	-58.457708	-34.5759132225369	-58.457804812634	2	10.9	-34.5758846	-58.4577564
estado de israel av|4300|almagro	Estado De Israel Av	4300	Almagro	-34.597973	-58.426316	-34.5978996953486	-58.4264394526556	2	13.9	-34.5979363	-58.4263777
virrey liniers|2300|boedo	Virrey Liniers	2300	Boedo	-34.63696	-58.411875	-34.6370645516148	-58.4119101349364	2	12.0	-34.6370123	-58.4118926
olazabal|2100|belgrano	Olazábal	2100	Belgrano	-34.55846	-58.455363	-34.5584834364804	-58.4554779847296	2	10.9	-34.5584717	-58.4554205
