punto_id,tipo,nombre,lat,lon,color_default
157,espacio_verde,Espacio verde 157,-34.61776214531498,-58.36260635484673,#2ca02c
158,espacio_verde,Espacio verde 158,-34.61737346995736,-58.359172407358834,#2ca02c
159,espacio_verde,Espacio verde 159,-34.61754691570085,-58.359208591105,#2ca02c
160,espacio_verde,Libertad Lamarque,-34.617585455023814,-58.3603707866689,#2ca02c
161,espacio_verde,Espacio verde 161,-34.61173777704469,-58.360506685615825,#2ca02c
162,espacio_verde,Espacio verde 162,-34.611862908100555,-58.362070211650405,#2ca02c
163,espacio_verde,Espacio verde 163,-34.61191899740841,-58.36301806514086,#2ca02c
164,espacio_verde,Espacio verde 164,-34.61196210810021,-58.363514230178154,#2ca02c
165,espacio_verde,Plaza Reina de Holanda,-34.6076476820365,-58.36389975107146,#2ca02c
166,espacio_verde,Espacio verde 166,-34.633051361480156,-58.519784061049755,#2ca02c
167,espacio_verde,Espacio verde 167,-34.63311923733508,-58.51811636628926,#2ca02c
168,espacio_verde,"Ernesto ""Che"" Guevara",-34.659241842627075,-58.42732749669696,#2ca02c
169,espacio_verde,Espacio verde 169,-34.68283661484448,-58.45341951579535,#2ca02c
170,espacio_verde,Dr. Avelino Gutiérrez,-34.63081399865949,-58.44243167480586,#2ca02c
171,espacio_verde,Espacio verde 171,-34.687597122623075,-58.45863505090296,#2ca02c
172,espacio_verde,Espacio verde 172,-34.68951675659766,-58.46072956512733,#2ca02c
173,espacio_verde,Espacio verde 173,-34.66559897432977,-58.43946392125804,#2ca02c
174,espacio_verde,Plaza Aristóbulo del Valle,-34.605550058046155,-58.49286395167922,#2ca02c
175,espacio_verde,"Plaza de Las Armas ""Ejército Argentino""",-34.61023029104367,-58.368540321204584,#2ca02c
176,espacio_verde,Plaza Mons. Miguel de Andrea,-34.59746910833493,-58.40714611526676,#2ca02c
177,espacio_verde,Espacio verde 177,-34.67670194862259,-58.44832783642415,#2ca02c
178,espacio_verde,Espacio verde 178,-34.58962910640541,-58.37013921876124,#2ca02c
179,espacio_verde,Espacio verde 179,-34.59103176362398,-58.370558194079095,#2ca02c
180,espacio_verde,Plaza Jorge Di Pascuale,-34.6502651441063,-58.46782273982567,#2ca02c
181,espacio_verde,Espacio verde 181,-34.59005349928002,-58.37057480414855,#2ca02c
182,espacio_verde,Espacio verde 182,-34.685532828032116,-58.458718126742426,#2ca02c
183,espacio_verde,Espacio verde 183,-34.680145815602735,-58.466159207681194,#2ca02c
184,espacio_verde,Espacio verde 184,-34.68076233594234,-58.4651468284131,#2ca02c
185,espacio_verde,Espacio verde 185,-34.682707243841556,-58.462525671109454,#2ca02c
186,espacio_verde,Plaza Dr. Benjamín A. Gould,-34.569323154155065,-58.411557096813375,#2ca02c
187,espacio_verde,Espacio verde 187,-34.68441954124415,-58.46021960644311,#2ca02c
188,espacio_verde,Espacio verde 188,-34.63679973418428,-58.46225898239481,#2ca02c
189,espacio_verde,Espacio verde 189,-34.63730272202033,-58.463026012611714,#2ca02c
190,espacio_verde,Espacio verde 190,-34.63780727485875,-58.463787496606166,#2ca02c
191,espacio_verde,Espacio verde 191,-34.638235402648434,-58.46444662338855,#2ca02c
192,espacio_verde,Espacio verde 192,-34.64088925300315,-58.4685639181372,#2ca02c
193,espacio_verde,Espacio verde 193,-34.641167689521794,-58.46899915440252,#2ca02c
194,espacio_verde,Espacio verde 194,-34.68052821321483,-58.44974156842421,#2ca02c
195,espacio_verde,Espacio verde 195,-34.68270077771643,-58.446986397927645,#2ca02c
196,espacio_verde,Espacio verde 196,-34.67007346162408,-58.463994509040425,#2ca02c
197,espacio_verde,Espacio verde 197,-34.669328047501864,-58.46314638195883,#2ca02c
198,espacio_verde,Plaza Canadá,-34.59003081550601,-58.37188772116054,#2ca02c
199,espacio_verde,Almte. Guillermo Brown,-34.65211778677753,-58.45678140528969,#2ca02c
200,espacio_verde,Espacio verde 200,-34.67037707206177,-58.46264630878225,#2ca02c
201,espacio_verde,Espacio verde 201,-34.66412823472188,-58.470740632577254,#2ca02c
202,espacio_verde,Espacio verde 202,-34.664703364139406,-58.46999346427405,#2ca02c
203,espacio_verde,Espacio verde 203,-34.665327618523456,-58.469170272394884,#2ca02c
204,espacio_verde,Espacio verde 204,-34.65310157417888,-58.48414813790139,#2ca02c
205,espacio_verde,Espacio verde 205,-34.65341276317097,-58.48261081985593,#2ca02c
206,espacio_verde,Espacio verde 206,-34.65365743848739,-58.48139403372468,#2ca02c
207,espacio_verde,Espacio verde 207,-34.6538615572209,-58.48033525439946,#2ca02c
208,espacio_verde,Espacio verde 208,-34.673225177143834,-58.459026236446924,#2ca02c
209,espacio_verde,Mariano Saavedra,-34.67185756404665,-58.46776385747199,#2ca02c
210,espacio_verde,Plaza Marcos Sastre,-34.57120191454115,-58.48160207489087,#2ca02c
211,espacio_verde,Espacio verde 211,-34.67366373928191,-58.458435839039964,#2ca02c
212,espacio_verde,Espacio verde 212,-34.58786824804665,-58.51416152437096,#2ca02c
213,espacio_verde,Espacio verde 213,-34.589611455880494,-58.51500970017909,#2ca02c
214,espacio_verde,Espacio verde 214,-34.656777933523315,-58.446302131734036,#2ca02c
215,espacio_verde,Espacio verde 215,-34.65750239798001,-58.44718894788305,#2ca02c
216,espacio_verde,Espacio verde 216,-34.65817838754685,-58.44802496753068,#2ca02c
